vela={
DataHora,ValorCrash,NumeroJogadores,ValorTotalApostado
2022-06-28 17:01:51,1.22,2524,15062.00
2022-06-28 17:02:57,31.33,2029,14462.00
2022-06-28 17:03:17,1.69,3588,8393.45
2022-06-28 17:03:38,2.03,3253,14342.00
2022-06-28 17:03:48,1.00,2950,14242.00
2022-06-28 17:04:07,1.74,3291,13302.00
2022-06-28 17:04:18,1.00,3430,13993.88
2022-06-28 17:05:04,1.22,3681,13714.00
2022-06-28 17:05:22,1.61,2938,16171.00
2022-06-28 17:05:55,4.09,2947,18014.00
2022-06-28 17:06:10,1.35,3206,15914.00
2022-06-28 17:06:23,1.22,2745,17054.00
2022-06-28 17:07:23,19.34,3347,16136.71
2022-06-28 17:07:50,2.89,2985,14426.00
2022-06-28 17:09:10,1.38,2921,17953.00
2022-06-28 17:09:20,1.00,2242,15691.13
2022-06-28 17:10:12,2.40,3458,17394.00
2022-06-28 17:10:56,7.37,3120,16198.00
2022-06-28 17:11:32,4.74,2784,15269.00
2022-06-28 17:12:13,6.53,2759,14980.61
2022-06-28 17:13:09,15.54,2838,26943.00
2022-06-28 17:13:29,1.89,2923,3700.00
2022-06-28 17:13:53,2.14,2300,4202.08
2022-06-28 17:14:11,1.69,2836,7437.40
2022-06-28 17:14:23,1.11,2890,7654.00
2022-06-28 17:14:38,1.36,2485,4519.34
2022-06-28 17:14:58,1.80,2824,15200.58
2022-06-28 17:18:32,3.88,3894,3805.93
2022-06-28 17:18:46,1.23,3444,4346.00
2022-06-28 17:18:58,1.14,2534,3020.43
2022-06-28 17:19:19,1.95,2623,5489.44
2022-06-28 17:19:38,1.73,3544,6338.24
2022-06-28 17:19:53,1.36,3826,7608.24
2022-06-28 17:20:06,1.22,3744,8378.24
2022-06-28 17:20:41,4.36,3455,18518.24
2022-06-28 17:21:56,6.66,4037,6043.24
2022-06-28 17:22:48,12.94,3617,6475.55
2022-06-28 17:23:37,16.64,3406,4327.63
2022-06-28 17:25:09,6.52,1921,7073.00
2022-06-28 17:25:29,1.84,3259,4635.00
2022-06-28 17:25:41,1.12,3090,6670.00
2022-06-28 17:26:00,1.71,2472,5277.96
2022-06-28 17:32:40,2.59,3327,9576.56
2022-06-28 17:32:50,1.01,3143,5005.28
